Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
6006,Need for Speed: The Run,Nintendo Wii,2011,Action,Electronic Arts,0.13,0.13,0.01,0.03,0.29
6196,Shadows of the Damned,Play Station 3,2011,Action,Electronic Arts,0.11,0.09,0.04,0.04,0.28
6878,Harry Potter and the Deathly Hallows - Part 2,Nintendo DS,2011,Action,Electronic Arts,0.12,0.1,0,0.02,0.24
7170,Madden NFL 12,PSP,2011,Sports,Electronic Arts,0.21,0,0,0.02,0.22
7804,Need for Speed: The Run,Nintendo 3DS,2011,Action,Electronic Arts,0.09,0.09,0,0.02,0.19
7853,Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0,0.03,0.19
7857,Rango: The Video Game,Play Station 3,2011,Action,Electronic Arts,0.07,0.09,0,0.04,0.19
7872,Family Game Night 4: The Game Show,Nintendo Wii,2011,Misc,Electronic Arts,0.13,0.04,0,0.01,0.19
7880,Shadows of the Damned,Xbox 360,2011,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19
8618,Bulletstorm,PC,2011,Shooter,Electronic Arts,0.07,0.07,0,0.02,0.16
8650,Trivial Pursuit: Bet You Know It,Nintendo Wii,2011,Misc,Electronic Arts,0.1,0.04,0,0.01,0.16
8824,The Sims Medieval: Pirates and Nobles,PC,2011,Simulation,Electronic Arts,0.05,0.08,0,0.02,0.15
9205,Rango: The Video Game,Nintendo Wii,2011,Action,Electronic Arts,0.08,0.04,0,0.01,0.14
9486,Rango: The Video Game,Xbox 360,2011,Action,Electronic Arts,0.06,0.06,0,0.01,0.13
9789,Alice: MadNintendo ESs Returns,PC,2011,Adventure,Electronic Arts,0,0.1,0,0.02,0.12
9955,Rango: The Video Game,Nintendo DS,2011,Action,Electronic Arts,0.07,0.03,0,0.01,0.12
9972,Darkspore,PC,2011,Role-Playing,Electronic Arts,0.07,0.03,0,0.01,0.12
9993,Hasbro Family Game Night Fun Pack,Nintendo Wii,2011,Misc,Electronic Arts,0.11,0,0,0.01,0.12
10026,Family Game Night 4: The Game Show,Play Station 3,2011,Misc,Electronic Arts,0.08,0.02,0,0.01,0.11
10653,Harry Potter and the Deathly Hallows - Part 2,PC,2011,Action,Electronic Arts,0.05,0.04,0,0.01,0.1
10853,Monopoly Collection,Nintendo Wii,2011,Misc,Electronic Arts,0.02,0.07,0,0.01,0.09
11226,FIFA 12,Play Station 2,2011,Sports,Electronic Arts,0,0.02,0,0.06,0.09
11652,Family Game Night 4: The Game Show,Xbox 360,2011,Misc,Electronic Arts,0.07,0,0,0.01,0.08
11794,The Sims 3: Barnacle Bay,PC,2011,Simulation,Electronic Arts,0.07,0,0,0.01,0.07
12239,Hasbro Family Game Night Fun Pack,Xbox 360,2011,Misc,Electronic Arts,0.06,0,0,0,0.07
13360,FIFA Manager 12,PC,2011,Sports,Electronic Arts,0,0.03,0,0.01,0.05
8246,The Cursed Crusade,Play Station 3,2011,Action,DTP Entertainment,0.07,0.07,0.01,0.03,0.17
8825,The Cursed Crusade,Xbox 360,2011,Action,DTP Entertainment,0.08,0.05,0,0.01,0.15
10102,Stronghold Kingdoms,PC,2011,Strategy,DTP Entertainment,0,0.1,0,0.02,0.11
11211,Gray Matter,PC,2011,Adventure,DTP Entertainment,0.02,0.05,0,0.01,0.09
11636,Emily the Strange: Strangerous,Nintendo DS,2011,Action,DTP Entertainment,0.04,0.03,0,0.01,0.08
11715,Winter Sports 2011,Nintendo Wii,2011,Sports,DTP Entertainment,0,0.06,0,0.01,0.08
13110,Winter Sports 2011,Play Station 3,2011,Sports,DTP Entertainment,0,0.04,0,0.01,0.05
13399,Mahjong 3D: Warriors of the Emperor,Nintendo 3DS,2011,Misc,DTP Entertainment,0,0.04,0,0.01,0.05
13441,Gray Matter,Xbox 360,2011,Adventure,DTP Entertainment,0,0.04,0,0.01,0.05
13584,Riding Stables: The Whitakers present Milton and Friends,Nintendo 3DS,2011,Sports,DTP Entertainment,0,0.04,0,0,0.04
14086,The Cursed Crusade,PC,2011,Action,DTP Entertainment,0,0.03,0,0.01,0.04
15213,Winter Sports 2011,Xbox 360,2011,Sports,DTP Entertainment,0,0.02,0,0,0.02
15236,Dance! It's Your Stage,Play Station 3,2011,Misc,DTP Entertainment,0,0.02,0,0.01,0.02
1116,LEGO Pirates of the Caribbean: The Video Game,Nintendo Wii,2011,Action,Disney Interactive Studios,0.76,0.72,0,0.16,1.64
1498,Cars 2,Nintendo DS,2011,Racing,Disney Interactive Studios,0.72,0.44,0.04,0.12,1.32
1935,Disney Universe,Nintendo Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0,0.1,1.07
1937,LEGO Pirates of the Caribbean: The Video Game,Xbox 360,2011,Action,Disney Interactive Studios,0.54,0.42,0,0.1,1.07
2092,LEGO Pirates of the Caribbean: The Video Game,Play Station 3,2011,Action,Disney Interactive Studios,0.36,0.46,0,0.17,0.99
2157,LEGO Pirates of the Caribbean: The Video Game,Nintendo DS,2011,Action,Disney Interactive Studios,0.37,0.49,0,0.1,0.96
2182,Cars 2,Nintendo Wii,2011,Racing,Disney Interactive Studios,0.46,0.39,0,0.1,0.95
3200,Disney Universe,Play Station 3,2011,Action,Disney Interactive Studios,0.3,0.23,0,0.09,0.63
3252,LEGO Pirates of the Caribbean: The Video Game,Nintendo 3DS,2011,Action,Disney Interactive Studios,0.29,0.28,0,0.06,0.62
3346,Phineas and Ferb: Across the 2nd Dimension,Nintendo Wii,2011,Action,Disney Interactive Studios,0.36,0.19,0,0.05,0.6
3516,Disney Universe,Xbox 360,2011,Action,Disney Interactive Studios,0.37,0.15,0,0.05,0.57
3581,Phineas and Ferb: Across the 2nd Dimension,Nintendo DS,2011,Action,Disney Interactive Studios,0.32,0.19,0,0.05,0.56
3735,Cars 2,Play Station 3,2011,Racing,Disney Interactive Studios,0.22,0.23,0,0.09,0.54
4000,Cars 2,Xbox 360,2011,Racing,Disney Interactive Studios,0.28,0.17,0,0.05,0.5
5355,LEGO Pirates of the Caribbean: The Video Game,PSP,2011,Action,Disney Interactive Studios,0.11,0.15,0,0.08,0.34
5521,Phineas and Ferb: Across the 2nd Dimension,Play Station 3,2011,Action,Disney Interactive Studios,0.15,0.12,0,0.05,0.33
7133,Cars 2,Nintendo 3DS,2011,Racing,Disney Interactive Studios,0.21,0,0,0.02,0.23
9749,Cars 2,PSP,2011,Racing,Disney Interactive Studios,0.1,0.01,0,0.01,0.12
14887,LEGO Pirates of the Caribbean: The Video Game,PC,2011,Action,Disney Interactive Studios,0.02,0,0,0,0.03
15833,Kuma no Pooh-San: 100 Acre no Mori no Cooking Book,Nintendo DS,2011,Misc,Disney Interactive Studios,0,0,0.02,0,0.02
11970,Rec Room Games,Nintendo DS,2011,Sports,Destineer,0.07,0,0,0,0.07
16588,Breach,PC,2011,Shooter,Destineer,0.01,0,0,0,0.01
657,Dead Island,Xbox 360,2011,Action,Deep Silver,1.48,0.71,0,0.2,2.39
695,Dead Island,Play Station 3,2011,Action,Deep Silver,1.08,0.75,0.15,0.31,2.29
2854,Catherine,Play Station 3,2011,Adventure,Deep Silver,0.3,0.15,0.2,0.07,0.72
5687,Catherine,Xbox 360,2011,Adventure,Deep Silver,0.2,0.06,0.03,0.02,0.32
7267,Dead Island,PC,2011,Action,Deep Silver,0.12,0.07,0,0.03,0.22
9349,Winter Stars,Nintendo Wii,2011,Sports,Deep Silver,0.06,0.07,0,0.01,0.13
10097,JASF: Jane's Advanced Strike Fighters,Play Station 3,2011,Simulation,Deep Silver,0.07,0.03,0,0.02,0.11
10724,Winter Stars,Xbox 360,2011,Sports,Deep Silver,0.05,0.04,0,0.01,0.1
10805,Cartoon Network: Punch Time Explosion,Nintendo 3DS,2011,Fighting,Deep Silver,0.07,0.02,0,0.01,0.1
10995,JASF: Jane's Advanced Strike Fighters,Xbox 360,2011,Simulation,Deep Silver,0.06,0.02,0,0.01,0.09
11058,Winter Stars,Play Station 3,2011,Sports,Deep Silver,0.01,0.06,0,0.02,0.09
13627,Duke Nukem Trilogy: Critical Mass,Nintendo DS,2011,Shooter,Deep Silver,0.04,0,0,0,0.04
13841,JASF: Jane's Advanced Strike Fighters,PC,2011,Simulation,Deep Silver,0.02,0.01,0,0,0.04
6354,Ben 10 Triple Pack,Nintendo DS,2011,Misc,D3Publisher,0.13,0.12,0,0.03,0.27
7559,Earth Defense Force: Insect Armageddon,Play Station 3,2011,Shooter,D3Publisher,0.06,0.04,0.08,0.02,0.2
7946,Earth Defense Force: Insect Armageddon,Xbox 360,2011,Shooter,D3Publisher,0.1,0.05,0.03,0.01,0.19
8645,Victorious: Hollywood Arts Debut,Nintendo DS,2011,Misc,D3Publisher,0.14,0.01,0,0.01,0.16
9172,Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,D3Publisher,0,0,0.14,0,0.14
9215,Ben 10 Galactic Racing,Nintendo DS,2011,Racing,D3Publisher,0.1,0.03,0,0.01,0.14
9366,Ben 10 Galactic Racing,Nintendo 3DS,2011,Racing,D3Publisher,0.07,0.06,0,0.01,0.13
9625,Ben 10 Galactic Racing,Nintendo Wii,2011,Racing,D3Publisher,0.08,0.03,0,0.01,0.13
9632,Victorious: Time to Shine,Xbox 360,2011,Action,D3Publisher,0.12,0,0,0.01,0.13
10712,Ben 10 Galactic Racing,Xbox 360,2011,Racing,D3Publisher,0.07,0.02,0,0.01,0.1
11017,Ben 10 Galactic Racing,Play Station 3,2011,Racing,D3Publisher,0.06,0.02,0,0.01,0.09
12666,Vitamin X to Z,PSP,2011,Adventure,D3Publisher,0,0,0.06,0,0.06
14223,Dream C Club Zero,Xbox 360,2011,Simulation,D3Publisher,0,0,0.03,0,0.03
14231,Angler's Club: Ultimate Bass Fishing 3D,Nintendo 3DS,2011,Sports,D3Publisher,0,0.03,0,0,0.03
14689,Dream Club Zero Portable,Play Station 5,2011,Simulation,D3Publisher,0,0,0.03,0,0.03
15358,Onechanbara Special,PSP,2011,Action,D3Publisher,0,0,0.02,0,0.02
15458,StormLover Karen!!,PSP,2011,Adventure,D3Publisher,0,0,0.02,0,0.02
15689,Machi-ing Maker 4,Play Station 3,2011,Strategy,D3Publisher,0,0,0.02,0,0.02
15022,Cross Channel: In Memory of All People,Xbox 360,2011,Adventure,CyberFront,0,0,0.02,0,0.02
12319,The Book of Unwritten Tales: The Critter Chronicles,PC,2011,Action,Crimson Cow,0,0.05,0,0.01,0.06
7907,Sing4: The Hits Edition,Nintendo Wii,2011,Misc,Crave Entertainment,0.18,0,0,0.01,0.19
8722,The Oregon Trail,Nintendo Wii,2011,Simulation,Crave Entertainment,0.15,0,0,0.01,0.15
9469,The Oregon Trail,Nintendo 3DS,2011,Simulation,Crave Entertainment,0.12,0,0,0.01,0.13
9984,Brunswick Pro Bowling,Nintendo 3DS,2011,Sports,Crave Entertainment,0.11,0,0,0.01,0.12
10734,Pinball Hall of Fame: The Williams Collection,Nintendo 3DS,2011,Misc,Crave Entertainment,0.09,0,0,0.01,0.1
10787,Man vs. Wild,Xbox 360,2011,Action,Crave Entertainment,0.09,0,0,0.01,0.1
11232,Cartoon Network: Punch Time Explosion XL,Nintendo Wii,2011,Fighting,Crave Entertainment,0.07,0.01,0,0.01,0.09
11658,Man vs. Wild,Nintendo Wii,2011,Action,Crave Entertainment,0.07,0,0,0,0.08
11777,Santa Claus Is Comin' to Town!,Nintendo DS,2011,Puzzle,Crave Entertainment,0.07,0,0,0.01,0.07
11829,Cartoon Network: Punch Time Explosion XL,Xbox 360,2011,Fighting,Crave Entertainment,0.07,0,0,0,0.07
12126,Cartoon Network: Punch Time Explosion XL,Play Station 3,2011,Fighting,Crave Entertainment,0.06,0,0,0,0.07
12280,Santa Claus Is Comin' to Town!,Nintendo Wii,2011,Puzzle,Crave Entertainment,0.06,0,0,0,0.06
12632,Gem Smashers,Nintendo Wii,2011,Platform,Crave Entertainment,0.05,0,0,0,0.06
13538,Gem Smashers,Nintendo 3DS,2011,Platform,Crave Entertainment,0.04,0,0,0,0.04
11176,Chou JiSega Genesis Game Neptune Mk-II,Play Station 3,2011,Role-Playing,Compile Heart,0,0,0.09,0,0.09
13403,Arcana Famiglia: La storia della Aracana Famiglia,PSP,2011,Adventure,Comfort,0,0,0.05,0,0.05
14199,Mashiro Iro Symphony: *mutsu-no-hana,PSP,2011,Adventure,Comfort,0,0,0.03,0,0.03
1642,F1 2011,Play Station 3,2011,Racing,Codemasters,0.12,0.75,0.11,0.25,1.22
1910,DiRT 3,Play Station 3,2011,Racing,Codemasters,0.27,0.59,0.01,0.21,1.08
2802,F1 2011,Xbox 360,2011,Racing,Codemasters,0.11,0.51,0.01,0.09,0.73
2812,DiRT 3,Xbox 360,2011,Racing,Codemasters,0.23,0.41,0.01,0.08,0.73
5442,Operation Flashpoint: Red River,Play Station 3,2011,Shooter,Codemasters,0.06,0.15,0.07,0.05,0.33
6050,Operation Flashpoint: Red River,Xbox 360,2011,Shooter,Codemasters,0.1,0.15,0.01,0.03,0.29
7932,F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04,0.19
8482,F1 2011,Nintendo 3DS,2011,Racing,Codemasters,0.07,0.08,0,0.02,0.16
8679,DiRT 3,PC,2011,Racing,Codemasters,0,0.13,0,0.03,0.16
8940,F1 2011,Play Station 5,2011,Racing,Codemasters,0.03,0.08,0.01,0.03,0.15
9761,Bodycount,Play Station 3,2011,Shooter,Codemasters,0.05,0.06,0,0.02,0.12
10085,Bodycount,Xbox 360,2011,Shooter,Codemasters,0.07,0.03,0,0.01,0.11
11918,Operation Flashpoint: Red River,PC,2011,Shooter,Codemasters,0.01,0.04,0,0.01,0.07
2595,Sniper: Ghost Warrior,Play Station 3,2011,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8
10702,Murder in Venice,Nintendo DS,2011,Adventure,City Interactive,0.06,0.03,0,0.01,0.1
11474,Chronicles of Mystery: The Secret Tree of Life,Nintendo DS,2011,Adventure,City Interactive,0.03,0.04,0,0.01,0.08
12162,Jewels of the Ages,Nintendo DS,2011,Puzzle,City Interactive,0.03,0.03,0,0.01,0.07
13381,Shin Kamaitachi no Yoru: 11 Hitome no Suspect,Play Station 5,2011,Adventure,ChunSoft,0,0,0.05,0,0.05
13595,Zombi Daisuki,Nintendo DS,2011,Action,ChunSoft,0,0,0.04,0,0.04
16156,Entaku no Seito: Students of Round,Xbox 360,2011,Role-Playing,ChunSoft,0,0,0.01,0,0.01
14855,I Heart Geeks,Nintendo DS,2011,Puzzle,CDV Software Entertainment,0.02,0,0,0,0.03
12440,Akai Katana Shin,Xbox 360,2011,Shooter,Cave,0.04,0,0.01,0,0.06
15507,Muchi Muchi Pork & Pink Sweets,Xbox 360,2011,Shooter,Cave,0,0,0.02,0,0.02
16047,Instant Brain,Xbox 360,2011,Adventure,Cave,0,0,0.01,0,0.01
16479,DoDonPachi Daifukkatsu: Black Label,Xbox 360,2011,Shooter,Cave,0,0,0.01,0,0.01
1436,Marvel vs. Capcom 3: Fate of Two Worlds,Play Station 3,2011,Fighting,Capcom,0.81,0.29,0.11,0.14,1.35
1652,Super Street Fighter IV: 3D Edition,Nintendo 3DS,2011,Fighting,Capcom,0.55,0.44,0.14,0.09,1.22
1918,Marvel vs. Capcom 3: Fate of Two Worlds,Xbox 360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08
3961,Monster Hunter Freedom 2,Play Station 3,2011,Role-Playing,Capcom,0,0,0.5,0,0.5
4022,Resident Evil: The Mercenaries 3D,Nintendo 3DS,2011,Action,Capcom,0.16,0.17,0.13,0.03,0.49
5467,Ultimate Marvel vs. Capcom 3,Play Station 5,2011,Fighting,Capcom,0.2,0.09,0,0.05,0.33
5560,Dead Rising 2: Off the Record,Play Station 3,2011,Action,Capcom,0.11,0.08,0.1,0.03,0.33
5706,MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011,Role-Playing,Capcom,0,0,0.31,0,0.31
6249,Dead Rising 2: Off the Record,Xbox 360,2011,Action,Capcom,0.17,0.09,0,0.02,0.28
6502,Ace Attorney Investigations 2,Nintendo DS,2011,Adventure,Capcom,0,0,0.26,0,0.26
7171,Sengoku Basara 3 Utage,Play Station 3,2011,Action,Capcom,0,0,0.22,0,0.22
8176,Biohazard: Revival Selection,Play Station 3,2011,Action,Capcom,0,0,0.18,0,0.18
8222,MotoGP 10/11,Play Station 3,2011,Racing,Capcom,0.04,0.1,0,0.04,0.17
8579,Sengoku Basara: Chronicle Heroes,PSP,2011,Action,Capcom,0,0,0.16,0,0.16
9576,Sengoku Basara 3 Utage,Nintendo Wii,2011,Action,Capcom,0,0,0.13,0,0.13
10649,Ultimate Marvel vs. Capcom 3,Play Station 3,2011,Fighting,Capcom,0,0.04,0.04,0.01,0.1
12006,Ultimate Marvel vs. Capcom 3,Xbox 360,2011,Fighting,Capcom,0,0.03,0.04,0,0.07
12418,MotoGP 10/11,Xbox 360,2011,Racing,Capcom,0,0.05,0,0.01,0.06
12481,Dead Rising 2: Off the Record,PC,2011,Action,Capcom,0.04,0.02,0,0.01,0.06
13435,Nazo Waku Yakata: Oto no Ma ni Ma ni,Nintendo 3DS,2011,Misc,Capcom,0,0,0.05,0,0.05
14537,Monster Hunter Frontier Online: Season 10,Xbox 360,2011,Role-Playing,Capcom,0,0,0.03,0,0.03
14696,Biohazard: Revival Selection,Xbox 360,2011,Action,Capcom,0,0,0.03,0,0.03
14711,Monster Hunter Frontier Online: Forward 1,Xbox 360,2011,Role-Playing,Capcom,0,0,0.03,0,0.03
14867,Monster Hunter Frontier Online: Forward 2,Xbox 360,2011,Role-Playing,Capcom,0,0,0.03,0,0.03
9072,Uta no * Prince-Sama: Repeat,PSP,2011,Adventure,Broccoli,0,0,0.14,0,0.14
10522,Uta no Prince-Sama: Music,PSP,2011,Misc,Broccoli,0,0,0.1,0,0.1
16086,Uta no * Prince-Sama: Sweet Serenade,PSP,2011,Adventure,Broccoli,0,0,0.01,0,0.01
16174,Dark Parables: The Exiled Prince,PC,2011,Puzzle,Blue Tea Games,0,0.01,0,0,0.01
8933,Kung-Fu: High Impact,Xbox 360,2011,Action,Black Bean Games,0.08,0.06,0,0.01,0.15
9068,SBK 2011: FIM Superbike World Championship,Play Station 3,2011,Racing,Black Bean Games,0.01,0.1,0,0.03,0.14
10300,National Geographic Challenge!,Nintendo Wii,2011,Misc,Black Bean Games,0.08,0.02,0,0.01,0.11
12198,SBK 2011: FIM Superbike World Championship,Xbox 360,2011,Racing,Black Bean Games,0,0.06,0,0.01,0.07
13326,National Geographic Challenge!,Play Station 3,2011,Misc,Black Bean Games,0.01,0.03,0,0.01,0.05
14264,SBK 2011: FIM Superbike World Championship,PC,2011,Racing,Black Bean Games,0,0.03,0,0.01,0.03
14554,Let's Dance with Mel B,Play Station 3,2011,Sports,Black Bean Games,0,0.02,0,0.01,0.03
14871,Let's Dance with Mel B,Nintendo Wii,2011,Sports,Black Bean Games,0,0.02,0,0,0.03
15613,Let's Dance with Mel B,Xbox 360,2011,Sports,Black Bean Games,0,0.02,0,0,0.02
7776,Air Conflicts: Secret Wars,Play Station 3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19
11304,Air Conflicts: Secret Wars,Xbox 360,2011,Simulation,bitComposer Games,0.06,0.02,0,0.01,0.08
11309,Wildlife Park 3,PC,2011,Simulation,bitComposer Games,0,0.07,0,0.02,0.08
14788,Air Conflicts: Secret Wars,PC,2011,Simulation,bitComposer Games,0,0.02,0,0.01,0.03
15326,Meikyuu Cross Blood: Reloaded,Xbox 360,2011,Action,Big Fish Games,0,0,0.02,0,0.02
16431,Aladdin Magic Racer,Nintendo Wii,2011,Racing,Big Ben Interactive,0.01,0,0,0,0.01
76,The Elder Scrolls V: Skyrim,Xbox 360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84
127,The Elder Scrolls V: Skyrim,Play Station 3,2011,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
311,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,2.09,0,0.64,3.88
1137,Rage,Xbox 360,2011,Shooter,Bethesda Softworks,0.82,0.61,0.03,0.15,1.62
1470,Rage,Play Station 3,2011,Shooter,Bethesda Softworks,0.47,0.59,0.06,0.21,1.33
2001,Brink,Xbox 360,2011,Shooter,Bethesda Softworks,0.59,0.35,0.01,0.09,1.04
2775,Brink,Play Station 3,2011,Shooter,Bethesda Softworks,0.29,0.32,0.01,0.12,0.74
5120,Rage,PC,2011,Shooter,Bethesda Softworks,0.14,0.18,0,0.06,0.37
6579,Hunted: The Demon's Forge,Play Station 3,2011,Action,Bethesda Softworks,0.12,0.08,0.02,0.04,0.26
7246,Hunted: The Demon's Forge,Xbox 360,2011,Action,Bethesda Softworks,0.13,0.07,0,0.02,0.22
8132,Brink,PC,2011,Shooter,Bethesda Softworks,0.06,0.09,0,0.03,0.18
12948,Hunted: The Demon's Forge,PC,2011,Action,Bethesda Softworks,0.03,0.01,0,0.01,0.05
4570,Dai-2-Ji Super Robot Taisen Z: Hakai-hen,PSP,2011,Strategy,Banpresto,0,0,0.42,0,0.42
8924,Ore no Imouto ga Konna ni Kawaii wake ga Nai Portable,PSP,2011,Adventure,Banpresto,0,0,0.15,0,0.15
13449,Kimi ni Todoke: Tsutaeru Kimochi,Nintendo DS,2011,Adventure,Banpresto,0,0,0.05,0,0.05
5538,1001 Touch Games,Nintendo DS,2011,Action,Avanquest,0.12,0.17,0,0.04,0.33
12857,7 Wonders: Treasures of Seven,Nintendo DS,2011,Puzzle,Avanquest,0.02,0.03,0,0.01,0.05
14067,Mahjong 300,Nintendo DS,2011,Puzzle,Avanquest,0,0.03,0,0,0.04
14187,Sacra Terra: Angelic Night,PC,2011,Puzzle,Avanquest,0.01,0.02,0,0.01,0.03
14394,Timmy Time,Nintendo DS,2011,Action,Avanquest,0,0.03,0,0,0.03
15470,Atlantic Quest,PC,2011,Puzzle,Avanquest,0,0.02,0,0,0.02
16053,Coronation Street: The Mystery of the Missing Hotpot Recipe,PC,2011,Adventure,Avanquest,0,0.01,0,0,0.01
5900,Shin Megami Tensei: Persona 2: Innocent Sin,PSP,2011,Role-Playing,Atlus,0.13,0.03,0.11,0.03,0.3
9839,Gungnir: Mayari no Gunshin to Eiyuu Sensou,PSP,2011,Role-Playing,Atlus,0.07,0,0.04,0.01,0.12
12343,Growlanser IV: Over Reloaded,PSP,2011,Role-Playing,Atlus,0,0,0.06,0,0.06
13450,Nora to Koku no Koubou: Kiri no Mori no Majo,Nintendo DS,2011,Role-Playing,Atlus,0,0,0.05,0,0.05
14439,Gloria Union,PSP,2011,Role-Playing,Atlus,0,0,0.03,0,0.03
12394,Atari's Greatest Hits: Volume 2,Nintendo DS,2011,Misc,Atari,0.06,0,0,0,0.06
12584,Centipede: Infestation,Nintendo Wii,2011,Shooter,Atari,0.06,0,0,0,0.06
13060,Fishdom,Nintendo DS,2011,Puzzle,Atari,0.05,0,0,0,0.05
13407,Centipede: Infestation,Nintendo 3DS,2011,Shooter,Atari,0.04,0,0,0,0.05
16351,Dungeons & Dragons: Neverwinter Nights - Complete,PC,2011,Misc,Atari,0.01,0,0,0,0.01
11932,"Horrid Henry: The Good, The Bad and The Bugly",Nintendo 3DS,2011,Platform,Asylum Entertainment,0,0.06,0,0.01,0.07
13553,Jewel Quest 5: The Sleepless Star,PC,2011,Action,Astragon,0.01,0.02,0,0.01,0.04
14716,Starry ? Sky: In Winter,PSP,2011,Misc,Asgard,0,0,0.03,0,0.03
16484,Dengeki Gakuen RPG: Cross of Venus Special,Nintendo DS,2011,Role-Playing,ASCII Media Works,0,0,0.01,0,0.01
10137,To Heart 2: Dungeon Travelers,PSP,2011,Adventure,Aqua Plus,0,0,0.11,0,0.11
13318,To Heart 2 DX Plus,Play Station 3,2011,Adventure,Aqua Plus,0,0,0.05,0,0.05
16270,Starry ? Sky: After Autumn,PSP,2011,Misc,Aqua Plus,0,0,0.01,0,0.01
12443,Nicola Kanshuu: Model * Oshare Audition 2,Nintendo 3DS,2011,Action,Alchemist,0,0,0.06,0,0.06
13731,Gal*Gun,Xbox 360,2011,Shooter,Alchemist,0,0,0.04,0,0.04
14676,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,Adventure,Alchemist,0,0,0.03,0,0.03
14710,Otome wa OaNintendo ESama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011,Adventure,Alchemist,0,0,0.03,0,0.03
14722,Saka Agari Hurricane Portable,PSP,2011,Adventure,Alchemist,0,0,0.03,0,0.03
15626,Princess Frontier Portable,PSP,2011,Adventure,Alchemist,0,0,0.02,0,0.02
16132,Umineko no Naku Koro ni Portable 1,PSP,2011,Adventure,Alchemist,0,0,0.01,0,0.01
14777,Farm Frenzy 3,Nintendo DS,2011,Strategy,Alawar Entertainment,0,0.02,0,0,0.03
16548,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011,Puzzle,Alawar Entertainment,0.01,0,0,0,0.01
30,Call of Duty: Modern Warfare 3,Xbox 360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76
38,Call of Duty: Modern Warfare 3,Play Station 3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46
513,Skylanders: Spyro's Adventure,Nintendo Wii,2011,Action,Activision,1.4,1.14,0,0.31,2.85
1039,Call of Duty: Modern Warfare 3,PC,2011,Shooter,Activision,0.41,0.98,0,0.33,1.72
1151,Moshi Monsters: Moshling Zoo,Nintendo DS,2011,Misc,Activision,0.4,0.99,0,0.22,1.6
2137,Skylanders: Spyro's Adventure,Xbox 360,2011,Action,Activision,0.53,0.35,0,0.1,0.97
2188,Skylanders: Spyro's Adventure,Play Station 3,2011,Action,Activision,0.39,0.4,0,0.16,0.95
2257,Wipeout: In The Zone,Xbox 360,2011,Misc,Activision,0.87,0,0,0.05,0.92
2352,Call of Duty: Modern Warfare 3,Nintendo Wii,2011,Shooter,Activision,0.6,0.21,0,0.08,0.89
2578,Goldeneye 007: Reloaded,Play Station 3,2011,Shooter,Activision,0.33,0.35,0,0.13,0.8
2914,Lalaloopsy,Nintendo DS,2011,Simulation,Activision,0.54,0.1,0,0.06,0.7
3541,Skylanders: Spyro's Adventure,Nintendo 3DS,2011,Action,Activision,0.32,0.2,0,0.05,0.57
3896,Goldeneye 007: Reloaded,Xbox 360,2011,Shooter,Activision,0.25,0.21,0,0.05,0.51
4256,Transformers: Dark of the Moon - Autobots/Decepticons,Nintendo DS,2011,Action,Activision,0.34,0.09,0,0.04,0.46
5040,Cabela's Big Game Hunter 2012,Nintendo Wii,2011,Sports,Activision,0.34,0.02,0,0.02,0.38
5155,Transformers: Dark of the Moon,Play Station 3,2011,Action,Activision,0.11,0.19,0,0.07,0.37
5461,Wipeout 2,Nintendo Wii,2011,Misc,Activision,0.31,0,0,0.02,0.33
5851,NASCAR 2011: The Game,Xbox 360,2011,Racing,Activision,0.29,0,0,0.02,0.3
5865,Squinkies,Nintendo DS,2011,Misc,Activision,0.27,0.02,0,0.02,0.3
5920,Call of Duty: Modern Warfare 3: Defiance,Nintendo DS,2011,Shooter,Activision,0.21,0.07,0,0.02,0.3
6054,Transformers: Dark of the Moon,Xbox 360,2011,Action,Activision,0.13,0.13,0,0.03,0.29
6085,Wappy Dog,Nintendo DS,2011,Simulation,Activision,0.27,0,0,0.02,0.29
6204,Cabela's Big Game Hunter 2012,Xbox 360,2011,Sports,Activision,0.24,0.02,0,0.02,0.28
6369,NASCAR 2011: The Game,Play Station 3,2011,Racing,Activision,0.25,0,0,0.02,0.27
6384,Wipeout 2,Xbox 360,2011,Misc,Activision,0.25,0,0,0.02,0.27
